group_id,artifact_id,version
com.badlogicgames.gdx,gdx-box2d-parent,1.12.1
com.badlogicgames.gdx,gdx-box2d-platform,1.12.1
com.badlogicgames.gdx,gdx-bullet,1.12.1
com.badlogicgames.gdx,gdx-bullet-platform,1.12.1
com.badlogicgames.gdx,gdx-controllers,1.9.13
com.badlogicgames.gdx,gdx-controllers-android,1.9.13
org.jenkins-ci.main,cli,No version found
org.jenkins-ci.main,jenkins-bom,No version found
org.jenkins-ci.main,jenkins-core,No version found
org.jenkins-ci.main,jenkins-parent,No version found
org.jenkins-ci.main,jenkins-test-harness,No version found
org.jenkins-ci.main,jenkins-war,No version found
org.jenkins-ci.main,maven-agent,No version found
org.jenkins-ci.main,maven-interceptor,No version found
org.jenkins-ci.main,maven-plugin,No version found
org.jenkins-ci.main,maven3-agent,No version found
com.google.android.exoplayer,exoplayer,No version found
com.google.android.exoplayer,exoplayer-common,No version found
com.google.android.exoplayer,exoplayer-container,No version found
com.google.android.exoplayer,exoplayer-core,No version found
com.google.android.exoplayer,exoplayer-dash,No version found
com.google.android.exoplayer,exoplayer-database,No version found
com.google.android.exoplayer,exoplayer-datasource,No version found
com.google.android.exoplayer,exoplayer-decoder,No version found
com.google.android.exoplayer,exoplayer-effect,No version found
com.google.android.exoplayer,exoplayer-extractor,No version found
io.reactivex.rxjava2,rxandroid,2.1.1
io.reactivex.rxjava3,rxandroid,3.0.2
io.reactivex,rxandroid,1.2.1
com.oracle.substratevm,graal-hotspot-library,19.2.1
com.oracle.substratevm,library-support,19.2.1
com.oracle.substratevm,native-image-maven-plugin,19.2.1
com.oracle.substratevm,objectfile,19.2.1
com.oracle.substratevm,pointsto,19.2.1
com.oracle.substratevm,svm,19.2.1
com.oracle.substratevm,svm-agent,19.2.1
com.oracle.substratevm,svm-configure,19.2.1
com.oracle.substratevm,svm-driver,19.2.1
com.oracle.substratevm,svm-hosted-native-darwin-amd64,19.2.1
org.keycloak.bom,keycloak-adapter-bom,24.0.4
org.keycloak.bom,keycloak-bom-parent,24.0.4
org.keycloak.bom,keycloak-spi-bom,24.0.4
org.keycloak.example.demo,admin-access-example,15.0.2
org.keycloak.example.demo,angular-product-example,15.0.2
org.keycloak.example.demo,camel-endpoint-example,1.1.1.Final
org.keycloak.example.demo,cors-angular-product-example,18.0.2
org.keycloak.example.demo,cors-database-service,18.0.2
org.keycloak.example.demo,customer-portal-cli-example,15.0.2
org.keycloak.example.demo,customer-portal-example-ear,15.0.2
com.pig4cloud,mybatis,0.5.2
io.github.flyinwind1,mybatis,3.5.11.2
org.mybatis,mybatis,3.5.16
tk.mybatis,mybatis,3.4.6-beta1
com.zaxxer,HikariCP,5.1.0
io.github.canny1913,apktool-cli,2.7.0
io.github.canny1913,apktool-lib,2.7.0
io.github.canny1913,brut.j.common,2.7.0
io.github.canny1913,brut.j.dir,2.7.0
io.github.canny1913,brut.j.util,2.7.0
org.apktool,apktool-cli,2.9.3
org.apktool,apktool-lib,2.9.3
org.apktool,brut.j.common,2.9.3
org.apktool,brut.j.dir,2.9.3
org.apktool,brut.j.util,2.9.3
